Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
48020 Bilbao;4802001 Bilbao distrito 01;;Renta neta media por hogar;2022;40.907
48020 Bilbao;4802002 Bilbao distrito 02;;Renta neta media por hogar;2022;36.591
48020 Bilbao;4802003 Bilbao distrito 03;;Renta neta media por hogar;2022;33.946
48020 Bilbao;4802004 Bilbao distrito 04;;Renta neta media por hogar;2022;33.814
48020 Bilbao;4802005 Bilbao distrito 05;;Renta neta media por hogar;2022;36.064
48020 Bilbao;4802006 Bilbao distrito 06;;Renta neta media por hogar;2022;65.628
48020 Bilbao;4802007 Bilbao distrito 07;;Renta neta media por hogar;2022;35.703
48020 Bilbao;4802008 Bilbao distrito 08;;Renta neta media por hogar;2022;38.191
