nombre_centro;municipio;lat;lon
CRUZ ROJA;Bilbao;43.2601466;-2.9269285
ESCUELA SUPERIOR DE HOSTELERIA BILBAO;Bilbao;43.2794121;-2.9407739
FERNANDO;Bilbao;NA;NA
GRUPO ALBOR-COHS;Bilbao;43.2668655;-2.9250803
HERMANOS LARRINAGA S.L.;Bilbao;NA;NA
JURITECNIA;Bilbao;43.2597944;-2.9229945
LICEO JEAN MONNET;Bilbao;NA;NA
MARIA INMACULADA;Bilbao;NA;NA
MIKELDI;Bilbao;43.257697;-2.9428692
OTXARKOAGA;Bilbao;43.2621174;-2.8995395
SAN LUIS BATXILERGOA;Bilbao;43.2616548;-2.9393785
SAN LUIS LANBIDE HEZIKETA;Bilbao;43.2616548;-2.9393785
SANTA MARIA DE ARTAGAN;Bilbao;43.2596064;-2.9113113
SOPEÑA-BILBAO;Bilbao;NA;NA
ARANGOITI;Bilbao;43.2753288;-2.9490689
ARTATSE;Bilbao;43.2569838;-2.899026
BASURTO;Bilbao;43.2586164;-2.9488931
BIRJINETXE;Bilbao;43.2585082;-2.9033394
CERVANTES;Bilbao;43.2670785;-2.932298
COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA DE Bilbao;Bilbao;NA;NA
DEUSTO;Bilbao;43.2699678;-2.9514407
ELEJABARRI;Bilbao;43.2532646;-2.9492979
GABRIEL ARESTI;Bilbao;43.2423504;-2.9502852
INDAUTXUKO ESKOLA;Bilbao;43.2580586;-2.9427003
INGENIERO JOSE ORBEGOZO GOROSTIDI;Bilbao;43.2452933;-2.948728
INTXIXU IKASTOLA;Bilbao;43.279224;-2.963736
IRUARTETA;Bilbao;43.252301;-2.9344821
JUAN MANUEL SANCHEZ MARCOS;Bilbao;43.2591242;-2.9352702
LUIS BRIÑAS-SANTUTXU;Bilbao;43.2514161;-2.9106228
MAESTRA ISABEL GALLEGO DE GORRIA;Bilbao;NA;NA
MAESTRO GARCIA RIVERO;Bilbao;43.2544909;-2.9217462
MINA DEL MORRO;Bilbao;43.2490378;-2.9138957
MIRIBILLA;Bilbao;NA;NA
MUJIKA;Bilbao;NA;NA
OTXARKOAGA;Bilbao;43.2590503;-2.9012726
PIO BAROJA;Bilbao;43.2538804;-2.9081163
SAN INAZIO/ SAN IGNACIO;Bilbao;43.2826987;-2.9617574
SRA. VIUDA DE EPALZA;Bilbao;43.2670535;-2.9246329
TOMAS CAMACHO;Bilbao;43.253041;-2.9359659
TXURDINAGA;Bilbao;NA;NA
URAZURRUTIA;Bilbao;43.2529108;-2.9231853
URETAMENDI;Bilbao;43.2480206;-2.9494926
URIBARRI;Bilbao;43.2665198;-2.9210866
ZAMAKOLA-JUAN DELMAS;Bilbao;43.2406839;-2.9216026
ZAZPILANDA;Bilbao;43.2721382;-2.9688737
ZORROTZA FRAY JUAN;Bilbao;43.273698;-2.9726637
ZURBARAN;Bilbao;43.2664976;-2.9159497
ZURBARANBARRI;Bilbao;43.2658871;-2.9104264
CASA OBS.RESID.SGDA.FAMILIA;Bilbao;43.2677112;-2.9244112
N.S.DE FATIMA;Bilbao;NA;NA
ARTABE;Bilbao;43.2572909;-2.9026591
BOTIKAZAR;Bilbao;43.2661666;-2.9534277
ESKURTZE;Bilbao;43.251282;-2.9362045
GABRIEL ARESTI;Bilbao;43.256716;-2.9018543
IBAIZABAL;Bilbao;43.24612;-2.9217445
IBARREKOLANDA;Bilbao;43.2751942;-2.955841
IGNACIO ELLACURIA-ZURBARAN;Bilbao;43.2664976;-2.9159497
MARTIN DE BERTENDONA;Bilbao;43.2603128;-2.9317528
MIGUEL DE UNAMUNO;Bilbao;43.2606519;-2.9334323
REKALDEBERRI;Bilbao;43.2422151;-2.9325854
SAN ADRIAN;Bilbao;43.2492004;-2.9315512
SAN INAZIO;Bilbao;43.279224;-2.963736
SOLOKOETXE;Bilbao;43.2571583;-2.9205906
TXURDINAGA BEHEKOA;Bilbao;43.2540079;-2.9066368
ZORROTZA;Bilbao;NA;NA
CONCHA;Concha;43.2249228;-3.361982
CARRANZA;Concha;43.2249228;-3.361982
Ibaizabal Koop. E. Ikastola;Dudea;NA;NA
KURUTZIAGA IKASTOLA;Durango;43.1667104;-2.6340611
NEVERS IKASTETXEA;Durango;NA;NA
SAN ANTONIO IKASTETXEA;Durango;NA;NA
SAN JOSE-JESUITAK;Durango;43.1681765;-2.6282428
IBAIZABAL KOOP. E. IKASTOLA;Durango;43.164942;-2.6315379
MARISTAK DURANGO BATXILERGOA;Durango;43.1711249;-2.6335568
LANDAKO ESKOLA;Durango;43.1734234;-2.6312759
SAN ROKE;Durango;NA;NA
ZABALARRA;Durango;43.1684387;-2.6419619
BARRIADA SAN MARCOS;Durango;NA;NA
DURANGO;Durango;43.1719573;-2.6373101
BETIKO IKASTOLA;Elexalde;NA;NA
BIENAVENTURADA VIRGEN MARIA;Elexalde;43.327802;-2.9863343
CLARET ASKARTZA;Elexalde;NA;NA
NUESTRA SEÑORA DE LAS MERCEDES;Elexalde;43.3262384;-2.9927288
ALTZAGA IKASTOLA;Elexalde;43.3242377;-2.9936952
AMOROTO;Elexalde;43.3231658;-2.9861072
GORLIZ;Elexalde;43.4118637;-2.9302859
LAUKIZKO LAUAXETA;Elexalde;43.3508205;-2.9060309
SOFIA TARAMONA;Elexalde;43.2221398;-2.8881104
TXOMIN ARESTI;Elexalde;43.3263271;-2.9889868
JOSE MIGUEL BARANDIARAN;Elexalde;43.3260712;-2.9867277
ELEXALDE;Elexalde Galdakao;43.2359027;-2.8325883
ESFORSAL, S.L;Elguero;NA;NA
ELORRIOKO TXINTXIRRI IKASTOLA;Elorrio;NA;NA
ELORRIO;Elorrio;43.1274696;-2.544266
ELORTZA;Elortza;43.3731141;-2.9498357
AMOR MISERICORDIOSO;Elotxelerri;NA;NA
ESPERANZA ALHAMA;Elotxelerri;43.2976247;-2.9136286
GOIKO-LANDA;Erandiogoikoa;43.3084603;-2.9560409
MANUELA ZUBIZARRETA;Erbera;43.2543195;-2.4759304
SAN PELAYO;Ermua;43.1903338;-2.5095321
ESKOLABARRI;Ermua;43.1902363;-2.5013373
ANAITASUNA IKASTOLA;Ermua;NA;NA
ONGARAI;Ermua;NA;NA
SAN LORENZO;Ermua;NA;NA
ERMUA;Ermua;43.1883752;-2.5046298
EL REGATO;Errekatxo;NA;NA
BERRIATUA;Erribera;43.3085774;-2.4671839
ETXANAKO AUZO ESKOLA;Etxano;NA;NA
BUENOS AIRES;Gallarta;NA;NA
ETORKIZUNA IKASTOLA;Gallarta;NA;NA
DOLORES IBARRURI;Gallarta;43.311555;-3.0759393
GATIKA;Garai;NA;NA
COLEGIO DE EDUCACIÓN PRIMARIA DE Garai;Garai;NA;NA
LEZAMA;Garaioltza;43.2736039;-2.8323439
SAN FIDEL IKASTOLA;Gernika-Lumo;43.317608;-2.6790396
SANTA MARIA DEL SOCORRO;Gernika-Lumo;43.3179798;-2.6748363
SEBER ALTUBE IKASTOLA;Gernika-Lumo;43.3134902;-2.6817454
ALLENDE SALAZAR;Gernika-Lumo;43.3134902;-2.6817454
SANTA LUCIA;Gernika-Lumo;NA;NA
GERNIKA;Gernika-Lumo;43.3197846;-2.6789037
ELEIZALDE IKASTOLA;Gibelortzaga (San Pelaio);NA;NA
BERMEO;Gibelortzaga (San Pelaio);NA;NA
GRUPO HOSPITALARIO QUIRÓN;Goierri;NA;NA
VITAE BILBAO;Goierri;43.3305284;-2.9566319
CO.EN.EN.;Gueñes;43.2056971;-3.0830175
LANDABASO ESKOLA AKTIBOA;Herrera;43.203087;-3.1695926
BAGABILTZA;Herrera;NA;NA
SOFIA TARAMONA;Herrera;43.2031682;-3.1705209
ARRATIA;Herriko Plaza;43.1355478;-2.7843205
ISPASTER;Ispaster-Elexalde;43.3617494;-2.5447902
MARIA GORETTI;Iurreta;NA;NA
COLEGIO DE EDUCACIÓN PRIMARIA DE Kortezubi;Kortezubi;NA;NA
KUKULLAGA;Kukullaga;NA;NA
ETXEBARRI;Kukullaga;43.2593055;-2.8844628
EGUZKIBEGI IKASTOLA;Kurtzea;NA;NA
GANDASEGI;Kurtzea;NA;NA
URRETA;Kurtzea;43.2336243;-2.8493326
BARRIADA DE ERLECHES;Kurtzea;NA;NA
BENGOETXE;Kurtzea;43.2334236;-2.8575428
LA ARBOLEDA;La Arboleda/Zugaztieta;NA;NA
