distrito;num_colegios;num_hospitales;num_zonas_verdes
DEUSTU;12;1;14
URIBARRI;13;0;12
OTXARKOAGA-TXURDINAGA;13;1;16
BEGOÑA;4;1;14
IBAIONDO;16;0;18
ABANDO;14;2;11
ERREKALDE;8;0;13
BASURTU-ZORROTZA;4;1;18
