"cod_municipio","nombre_municipio","nombre_municipio_norm","pob_total","pob_extranjera","pob_menor_16","pob_mayor_65","pct_extranjeros","indice_envejecimiento","pct_estudios_sup","num_colegios","ratio_colegios","distancia_centro_educativo","num_centros_salud","ratio_centros_salud","consultorio_local","num_hospitales","ratio_hospital","distancia_hospital","precio_m2_alquiler","renta_media_hogar","esfuerzo_alquiler","pct_hogares_100mbps","internet_100mbps_mayor90","contratos_total","pct_contratos_agricultura","pct_contratos_industria","pct_contratos_construccion","pct_contratos_servicios","estudios_faltaban"
"48911","Ajangiz","ajangiz",480,9,68,119,1.875,175,38.5,0,0,1.58,0,0,0,0,0,13.82,8.6,53245,15.5056812846277,93.75,1,100,5,20,0,75,TRUE
"48003","Amorebieta-Etxano","amorebieta-etxano",19587,2054,3052,4023,10.4865471996733,131.815203145478,30.135231316726,0,0,0,0,0,0,0,0,8.85,8,42273,18.1676247250018,97.8594812389826,1,7118,0.871031188536106,12.3068277606069,5.26833380162967,81.5538072492273,FALSE
"48005","Arakaldo","arakaldo",158,8,28,21,5.06329113924051,75,39.2,0,0,0,0,0,0,0,0,0,8.9,45341,18.8438719922366,100,1,70,0,28.5714285714286,14.2857142857143,57.1428571428571,TRUE
"48023","Artea","artea",746,36,119,173,4.82573726541555,145.378151260504,36.7762128325509,0,0,0,0,0,1,0,0,10.39,8.3,47782,16.675735632665,94.1580756013746,1,392,1.27551020408163,23.7244897959184,8.92857142857143,66.0714285714286,FALSE
"48012","Bakio","bakio",2812,146,450,516,5.19203413940256,114.666666666667,41.2379757423672,0,0,6.45,0,0,1,0,0,7.52,7.6,41372,17.6351155370782,93.8403041825095,1,1300,6.69230769230769,9.69230769230769,2.30769230769231,81.3076923076923,FALSE
"48013","Barakaldo","barakaldo",100535,8611,13773,23644,8.56517630675884,171.669207870471,20.7096472306867,0,0,0,7,0.0696274929129159,1,2,0.0198935694036903,0,10.4,35118,28.4298650264821,98.9281663078455,1,23550,0.148619957537155,9.05307855626327,4.08917197452229,86.7091295116773,FALSE
"48015","Basauri","basauri",40324,3088,4613,11123,7.65797043944053,241.122913505311,16.7138731533933,0,0,0.68,3,0.0743973812121813,1,0,0,3.97,9.7,33997,27.3906521163632,95.8235192738554,1,9109,0.757492589746405,12.9432429465364,7.50905697661653,78.7902074871007,FALSE
"48016","Berango","berango",7347,261,1253,1303,3.55247039608003,103.990422984836,39.2689632864305,1,0.136109976861304,0,0,0,1,0,0,3.58,10.8,52584,19.7170241898676,99.3179234558545,1,1813,0.827357970215113,14.4511858797573,8.99062327633756,75.73083287369,FALSE
"48017","Bermeo","bermeo",16755,1509,2295,4005,9.00626678603402,174.509803921569,20.5956864087641,4,0.238734706057893,0,1,0.0596836765144733,0,1,0.0596836765144733,0,7,36384,18.4696569920844,99.1432068543452,1,3159,5.76131687242798,11.744222855334,3.45045900601456,79.0440012662235,FALSE
"48019","Berriz","berriz",4535,396,721,1006,8.73208379272326,139.528432732316,19.5556703694136,0,0,3.32,0,0,1,0,0,1.95,8.9,42155,20.2680583560669,98.5244040862656,1,854,0,14.2857142857143,16.9789227166276,68.7353629976581,FALSE
"48020","Bilbao","bilbao",344127,34401,41610,84842,9.99660009240774,203.898101417928,32.6753507671904,100,0.290590392500443,0,21,0.0610239824250931,1,10,0.0290590392500443,0,11.8,40886,27.7063053367901,99.3430128986458,1,156935,0.119794819511263,9.12161085799853,3.00697741103004,87.7516169114602,FALSE
"48901","Derio","derio",6819,263,1189,1250,3.85687050887227,105.130361648444,25.2236449745659,0,0,0,1,0.146649068778413,0,0,0,2.57,8.9,41572,20.552294813817,99.7154037709,1,10966,0.319168338500821,10.3501732628123,7.31351449936166,82.0171438993252,FALSE
"48027","Durango","durango",29609,2434,4417,5818,8.22047350467763,131.718360878424,29.2442840895721,11,0.371508662906549,0,1,0.0337735148096862,0,0,0,6.8,8.9,45065,18.9592810384999,99.949460916442,1,7923,0.605831124574025,8.24182759055913,5.73015271992932,85.4221885649375,FALSE
"48032","Elorrio","elorrio",7309,497,1087,1695,6.79983581885347,155.933762649494,24.1768729123588,3,0.410452866329183,0,0,0,1,0,0,4.25,7,43692,15.3803900027465,97.2164948453608,1,3459,1.67678519803411,10.8123735183579,3.35357039606823,84.1572708875398,FALSE
