"cod_distrito","nombre_distrito","nombre_distrito_norm","pob_total","pob_menor_16","pob_mayor_65","indice_envejecimiento","num_colegios","ratio_colegio","num_hospitales","ratio_hospital","alquiler_m2","renta_media_hogar","esfuerzo_alquiler","num_zonas_verdes","ratio_zonas_verdes"
1,"DEUSTU","deustu",48710,5561,13287,238.93,0,0,0,0,12.4,40907,29.1001540078715,0,0
2,"URIBARRI","uribarri",35990,3939,9981,253.39,0,0,0,0,12.1,36591,31.7455111912765,0,0
3,"OTXARKOAGA-TXURDINAGA","otxarkoaga",25039,2990,5880,196.66,0,0,0,0,12.4,33946,35.0674600836623,0,0
4,"BEGOÑA","begona",40526,4603,11795,256.25,0,0,0,0,11.7,33814,33.2170107056249,0,0
5,"IBAIONDO","ibaiondo",61805,8771,11108,126.64,0,0,0,0,13.1,36064,34.8713398402839,0,0
6,"ABANDO","abando",51086,6022,13962,231.85,0,0,0,0,15.3,65628,22.3806911684037,0,0
7,"ERREKALDE","errekalde",48615,5879,10786,183.47,0,0,0,0,12.1,35703,32.5350810856231,0,0
8,"BASURTU-ZORROTZA","basurtu",32907,3974,8078,203.27,0,0,0,0,12.9,38191,32.4264879160012,0,0
