distrito;num_colegios;num_hospitales;num_zonas_verdes
1;162;0;202
2;36;0;33
3;26;0;34
4;16;0;103
5;12;0;7
6;9;0;7
7;15;0;11
8;6;0;12
9;6;0;10
10;7;0;21
11;15;0;16
12;9;0;12
13;5;0;8
14;0;0;4
15;8;0;10
16;7;0;10
17;1;0;7
18;0;0;9
19;1;0;4
