municipio,distancia_centro_educativo,distancia_hospital
Ademuz,0,NA
Ador,5.55,NA
Agullent,1.8,NA
Aielo de Malferit,5.87,NA
Aielo de Rugat,16.07,NA
Alaquàs,0,NA
Albaida,0,NA
Albal,0,NA
Albalat de la Ribera,0,NA
Albalat dels Sorells,0,NA
Albalat dels Tarongers,0,NA
Alberic,0,NA
Alborache,3.18,NA
Alboraia/Alboraya,0,NA
Albuixech,2.3,NA
Alcàntera de Xúquer,2.86,NA
Alcàsser,0,NA
Alcublas,0,NA
"Alcúdia de Crespins, l'",0.43,NA
"Alcúdia, l'",2.34,NA
Aldaia,0,NA
Alfafar,0,NA
Alfara de la Baronia,5.19,NA
Alfara del Patriarca,0.5,NA
Alfarb,1.23,NA
Alfarrasí,8.01,NA
Alfauir,6.53,NA
Algar de Palància,6.28,NA
Algemesí,0,NA
Algímia d'Alfara,4.32,NA
Alginet,0,NA
Almàssera,0,NA
Almiserà,9.69,NA
Almoines,2.08,NA
Almussafes,0,NA
Alpuente,9.74,NA
"Alqueria de la Comtessa, l'",2.11,NA
Alzira,0,0
Andilla,10.67,NA
Anna,0,NA
Antella,0,NA
Aras de los Olmos,0,NA
Atzeneta d'Albaida,0,NA
Ayora,9.03,NA
Barx,3.58,NA
Barxeta,9.35,NA
Bèlgida,5.04,NA
Bellreguard,1.53,NA
Bellús,5.71,NA
Benagéber,0,0
Benaguasil,0,NA
Benavites,0.5,NA
Beneixida,3.18,NA
Benetússer,0.59,NA
Beniarjó,3.21,NA
Beniatjar,9.39,NA
Benicolet,14.35,NA
Benicull de Xúquer,4.21,NA
Benifaió,0,NA
Benifairó de la Valldigna,1.19,NA
Benifairó de les Valls,1.12,NA
Beniflá,3.67,NA
Benigànim,8.51,NA
Benimodo,1.58,NA
Benimuslem,2.74,NA
Beniparrell,1.21,NA
Benirredrà,0.29,NA
Benissanó,1.84,NA
Benissoda,0,NA
Benissuera,9.18,NA
Bétera,0,0
Bicorp,0,NA
Bocairent,5.7,NA
Bolbaite,0,NA
Bonrepòs i Mirambell,0.63,NA
Bufali,3.73,NA
Bugarra,0,NA
Buñol,0,NA
Burjassot,0,0
Calles,21.44,NA
Camporrobles,7.54,NA
Canals,0,NA
Canet d'En Berenguer,0,NA
Carcaixent,3.39,0
Càrcer,2.36,NA
Carlet,0,NA
Carrícola,4.53,NA
Casas Altas,2.99,NA
Casas Bajas,4.58,NA
Casinos,10.49,NA
Castelló,0,NA
Castelló de Rugat,13.09,NA
Castellonet de la Conquesta,8.17,NA
Castielfabib,7.94,NA
Catadau,0.78,NA
Catarroja,0,NA
Caudete de las Fuentes,6.31,NA
Cerdà,2.05,NA
Chella,0,NA
Chelva,22.5,NA
Chera,15.56,NA
Cheste,0,NA
Chiva,0,NA
Chulilla,11.41,NA
Cofrentes,10.05,NA
Corbera,5.66,NA
Cortes de Pallás,16.2,NA
Cotes,1.84,NA
Cullera,0,NA
Daimús,1.79,NA
Domeño,18.78,NA
Dos Aguas,10.63,NA
"Eliana, l'",0.82,NA
Emperador,1.97,NA
Enguera,0,NA
"Énova, l'",3.37,NA
Estivella,0,NA
Estubeny,1.94,NA
Faura,1.36,NA
Favara,0,NA
Foios,1.61,NA
"Font de la Figuera, la",19.29,NA
"Font d'En Carròs, la",4.57,NA
Fontanars dels Alforins,9.93,NA
Fortaleny,1.69,NA
Fuenterrobles,0,NA
Gandia,0,0
Gátova,3.49,NA
Gavarda,3.18,NA
"Genovés, el",9.25,NA
Gestalgar,5.29,NA
Gilet,0,NA
Godella,0,0
Godelleta,0,NA
"Granja de la Costera, la",1.94,NA
Guadasséquies,7.65,NA
Guadassuar,0,NA
Guardamar de la Safor,0.9,NA
Higueruelas,13.76,NA
Jalance,5.67,NA
Jarafuel,0,NA
Llanera de Ranes,2.52,NA
Llaurí,3.91,NA
Llíria,0,0
Llocnou de la Corona,0.3,NA
Llocnou de Sant Jeroni,9.82,NA
Llocnou d'En Fenollet,5.92,NA
Llombai,0,NA
"Llosa de Ranes, la",3.91,NA
Llutxent,12.07,NA
Loriguilla,5.85,NA
Losa del Obispo,12.66,NA
Macastre,1.87,NA
Manises,0,0
Manuel,2.37,NA
Marines,0,NA
Massalavés,2.77,NA
Massalfassar,1.84,NA
Massamagrell,0,NA
Massanassa,0,NA
Meliana,0,NA
Millares,11.94,NA
Miramar,0,NA
Mislata,0,0
Mogente/Moixent,0,NA
Montcada/Moncada,0,NA
Montaverner,6.42,NA
Montesa,4.53,NA
Montitxelvo/Montichelvo,15.19,NA
Montroi/Montroy,7.43,NA
Montserrat,8.83,0
Museros,1.28,NA
Nàquera/Náquera,0,NA
Navarrés,0,NA
Novelé/Novetlè,0,NA
Oliva,0,NA
"Olleria, l'",6.46,NA
Olocau,0,NA
Ontinyent,0,0
Otos,7.21,NA
Paiporta,0,NA
Palma de Gandía,0,0
Palmera,1.46,NA
"Palomar, el",39.16,NA
Paterna,0,NA
Pedralba,0,NA
Petrés,2.51,NA
Picanya,0,NA
Picassent,0,NA
Piles,1.87,NA
Pinet,7.36,NA
"Pobla de Farnals, la",0.24,NA
"Pobla de Vallbona, la",0.58,NA
"Pobla del Duc, la",13.67,NA
"Pobla Llarga, la",3.48,NA
Polinyà de Xúquer,4.72,NA
Potries,5.14,NA
Puçol,0,NA
Puebla de San Miguel,12.11,NA
"Puig de Santa Maria, el",0.5,NA
Quart de les Valls,0.57,NA
Quart de Poblet,0,NA
Quartell,0,NA
Quatretonda,11.68,NA
Quesa,0,NA
Rafelbunyol,0,NA
Rafelcofer,2.89,NA
Rafelguaraf,5.2,NA
Ráfol de Salem,11.5,NA
Real,6.58,NA
"Real de Gandia, el",0,0
Requena,0,0
Riba-roja de Túria,0,NA
Riola,1.7,NA
Rocafort,0,NA
Rotglà i Corberà,3.04,NA
Ròtova,6.77,NA
Rugat,14.85,NA
Sagunto/Sagunt,0,0
Salem,12.55,NA
San Antonio de Benagéber,0,0
Sant Joanet,2.38,NA
Sedaví,0,NA
Segart,3.46,NA
Sellent,5.17,NA
Sempere,8.38,NA
