municipio,distancia_centro_educativo,distancia_hospital
Ademuz,0,66.29
Ador,5.55,7.27
Agullent,1.8,4.83
Aielo de Malferit,6.01,6.76
Aielo de Rugat,16.07,17.77
Alaquàs,0,3.66
Albaida,0,7.65
Albal,0,6.31
Albalat de la Ribera,0,5.65
Albalat dels Sorells,0,6.53
Albalat dels Tarongers,0,8.3
Alberic,0,9.46
Alborache,3.18,28.86
Alboraia/Alboraya,0,3.33
Albuixech,2.3,7.37
Alcàntera de Xúquer,2.86,8.22
Alcàsser,0,10.3
Alcublas,0,18.75
"Alcúdia de Crespins, l'",0.43,7.82
"Alcúdia, l'",2.34,7.81
Aldaia,0,2.83
Alfafar,0,2.86
Alfara de la Baronia,5.2,10.86
Alfara del Patriarca,0.49,3.66
Alfarb,1.23,17.24
Alfarrasí,8.01,11.43
Alfauir,6.53,8.24
Algar de Palància,6.28,12.02
Algemesí,0,3.35
Algímia d'Alfara,4.32,9.64
Alginet,0,12.15
Almàssera,0,4.26
Almiserà,9.69,11.38
Almoines,2.08,3.29
Almussafes,0,14.61
Alpuente,28.2,42.65
"Alqueria de la Comtessa, l'",2.11,4.58
Alzira,0,0
Andilla,10.67,27.27
Anna,0,11.87
Antella,0,10.76
Aras de los Olmos,19.92,48.88
Atzeneta d'Albaida,0,9.3
Ayora,9.03,47.33
Barx,3.58,9.37
Barxeta,9.35,8.3
Bèlgida,5.04,11.97
Bellreguard,1.53,3.18
Bellús,5.5,7.14
Benagéber,0,0
Benaguasil,0,5.88
Benavites,0.51,16.06
Beneixida,3.18,6.53
Benetússer,0.59,2.96
Beniarjó,3.21,4.58
Beniatjar,9.39,16.46
Benicolet,14.35,15.93
Benicull de Xúquer,4.21,4.72
Benifaió,0,13.78
Benifairó de la Valldigna,1.19,5.97
Benifairó de les Valls,1.3,14.73
Beniflá,3.67,5.07
Benigànim,8.15,9.03
Benimodo,1.58,10.38
Benimuslem,2.74,6.51
Beniparrell,1.21,7.52
Benirredrà,0.29,1.92
Benissanó,1.84,4.93
Benissoda,0,6.46
Benissuera,9.04,10.82
Bétera,0,0
Bicorp,0,27.78
Bocairent,5.7,5.95
Bolbaite,0,15.45
Bonrepòs i Mirambell,0.81,4.05
Bufali,3.73,9.21
Bugarra,0,13.93
Buñol,0,26.89
Burjassot,0,0
Calles,21.44,28.52
Camporrobles,7.56,32.1
Canals,0,8.02
Canet d'En Berenguer,0,16.98
Carcaixent,3.39,0
Càrcer,2.36,8.61
