nombre_centro;municipio;lat;lon
DOCTOR PESET ALEIXANDRE;Paterna;NA;NA
HENRI MATISSE;Paterna;39.5104405;-0.4500263
MAESTRO JUAN BERNIA;Pedralba;39.6062076;-0.7259715
DOMÍNGUEZ ROCA;Petrés;NA;NA
ESCOLA GAVINA;Picanya;NA;NA
AUSIÀS MARCH;Picanya;39.4361039;-0.4403156
BALADRE;Picanya;NA;NA
ENRIC VALOR;Picanya;NA;NA
AUSIÀS MARCH;Picassent;NA;NA
LA NOSTRA ESCOLA COMARCAL;Picassent;NA;NA
LES CAROLINES;Picassent;NA;NA
SANT CRISTÒFOR MÀRTIR I;Picassent;NA;NA
MARE DE DÉU DE VALLIVANA;Picassent;NA;NA
PRÍNCIPE DE ESPAÑA;Picassent;39.3651305;-0.4550701
SANT IGNASI DE LOIOLA;Picassent;NA;NA
SIBIL·LA MERCER;Picassent;NA;NA
L'OM;Picassent;NA;NA
JOSÉ PEDRÓS;Piles;NA;NA
PINEDO;Pinedo;NA;NA
L'ALCOCERA;Polinyà de Xúquer;NA;NA
MONDÚVER-SAFOR;Potries;NA;NA
ALFINACH;Puçol;NA;NA
VIRGEN AL PIE DE LA CRUZ;Puçol;39.6179274;-0.3087954
BISBE HERVÀS;Puçol;NA;NA
JAUME I;Puçol;NA;NA
LUIS VIVES;Puçol;39.616291;-0.3119402
Instituto de Educación Secundaria;Puçol;39.6110637;-0.3153946
BENAVITES QUART DE LES VALLS;Quart de les Valls;NA;NA
PURÍSIMA CONCEPCIÓN;Quart de Poblet;NA;NA
SAGRADO CORAZÓN;Quart de Poblet;39.4819447;-0.4402585
SAN ENRIQUE;Quart de Poblet;39.4855838;-0.4461109
LA CONSTITUCIÓN;Quart de Poblet;39.4801081;-0.4347923
MARÍA MOLINER;Quart de Poblet;NA;NA
MOLÍ D'ANIMETA;Quart de Poblet;39.4800019;-0.4328501
SAN ONOFRE;Quart de Poblet;39.4831065;-0.4481188
LA SENDA;Quart de Poblet;39.4800768;-0.4373201
RIU TÚRIA;Quart de Poblet;39.485808;-0.4469792
SANTA ANA;Quartell;39.738875;-0.2639465
RAFAEL ALTAMIRA;Quatretonda;NA;NA
LUIS VIVES;Quesa;39.1206333;-0.7401527
ELS GERMANELLS;Rafelbunyol;NA;NA
VERGE DEL MIRACLE;Rafelbunyol;39.5903568;-0.3368809
Instituto de Educación Secundaria;Rafelbunyol;39.5845952;-0.3329103
AUSIÀS MARCH;Rafelcofer;NA;NA
VICENTE BLASCO IBÁÑEZ;Rafelguaraf;NA;NA
SANT PERE APÒSTOL;Real;NA;NA
ALFONSO X EL SABIO;Requena;39.4889621;-1.1009116
LAS HIGUERILLAS;Requena;39.4902688;-1.0957918
LUCIO GIL FAGOAGA;Requena;NA;NA
SERRANO CLAVERO;Requena;NA;NA
NÚMERO 1;Requena;NA;NA
OLEANA;Requena;39.4903963;-1.0943038
ASUNCIÓN DE NUESTRA SEÑORA;Riba-Roja de Túria;NA;NA
CAMP DE TÚRIA;Riba-Roja de Túria;39.5467837;-0.5736826
CERVANTES;Riba-Roja de Túria;39.5432085;-0.5730813
ERES ALTES;Riba-Roja de Túria;NA;NA
MAS DE ESCOTO;Riba-Roja de Túria;NA;NA
EL QUINT;Riba-Roja de Túria;NA;NA
PLA DE NADAL;Riba-Roja de Túria;NA;NA
MIGUEL HERNÁNDEZ;Riola;NA;NA
SAN SEBASTIÁN;Rocafort;39.5274748;-0.4096343
MARE DE DÉU DEL SOCORRO;Rotglà i Corberà;NA;NA
ALFAUIR-RÓTOVA;Rótova;NA;NA
ADVENTISTA;Sagunto/Sagunt;NA;NA
SAN VICENTE FERRER;Sagunto/Sagunt;NA;NA
AUSIÀS MARCH;Sagunto/Sagunt;39.6818679;-0.277441
CRONISTA CHABRET;Sagunto/Sagunt;NA;NA
JOSÉ ROMEU;Sagunto/Sagunt;39.6803372;-0.2718766
MONTÍBER;Sagunto/Sagunt;NA;NA
CLOT DEL MORO;Sagunto/Sagunt;NA;NA
MANUEL GARCÍA IZQUIERDO;San Antonio;NA;NA
HOME SCHOOL INTERNACIONAL;San Antonio de Benagéber;NA;NA
LA SABINA;San Antonio de Benagéber;39.5721237;-0.5120687
8 DE ABRIL;San Antonio de Benagéber;39.5551253;-0.4985626
BENAGÉBER;San Antonio de Benagéber;39.5636811;-0.5066379
LA RIBERA ALTA;Sant Joanet;NA;NA
SEDAVÍ;Sedaví;39.4270634;-0.3879068
FERNANDO BAIXAULI CHORNET;Sedaví;39.4260568;-0.3881901
SAN CLEMENTE;Sedaví;39.4231954;-0.3826197
VICENTE PLA PAREDES;Sedaví;NA;NA
Instituto de Educación Secundaria;Sedaví;39.4235232;-0.3846877
9 D'OCTUBRE;Senyera;39.0638496;-0.5130208
SANT JOSEP;Serra;NA;NA
VICENTE ALEIXANDRE;Siete Aguas;NA;NA
SAGRADA FAMILIA;Silla;NA;NA
EL PATI;Silla;NA;NA
LUIS VIVES;Silla;NA;NA
REIS CATÒLICS;Silla;43.3637715;-5.8655433
SAN ROQUE;Silla;NA;NA
VERGE DELS DESEMPARATS;Silla;NA;NA
ENRIC VALOR;Silla;NA;NA
MANUEL SANCHIS GUARNER;Silla;NA;NA
VALLDIGNA;Simat de la Valldigna;39.0459137;-0.3127613
LA ESTELA;Sinarcas;NA;NA
LÓPEZ MARCO;Sollana;NA;NA
E. JARDÍN ATENEO SUECO DEL SOCORRO;Sueca;39.1990835;-0.3151343
LA ENCARNACIÓN;Sueca;NA;NA
LUIS VIVES;Sueca;NA;NA
MARÍA AUXILIADORA;Sueca;39.2038817;-0.3089012
NUESTRA SEÑORA DE FÁTIMA;Sueca;NA;NA
UNIÓN CRISTIANA;Sueca;NA;NA
CARRASQUER;Sueca;NA;NA
CERVANTES;Sueca;NA;NA
JOAN FUSTER;Sueca;NA;NA
REI EN JAUME;Tavernes Blanques;39.5047538;-0.3649378
9 D'OCTUBRE;Tavernes Blanques;39.5047538;-0.3649378
Instituto de Educación Secundaria;Tavernes Blanques;39.5066944;-0.3692121
PARROQUIAL SAN JOSÉ-PATRONATO;Tavernes de la Valldigna;NA;NA
SAN JOSÉ;Tavernes de la Valldigna;NA;NA
ALFÀNDEC;Tavernes de la Valldigna;NA;NA
DIVINA AURORA;Tavernes de la Valldigna;NA;NA
MAGRANER;Tavernes de la Valldigna;NA;NA
SANT MIQUEL;Tavernes de la Valldigna;NA;NA
JAUME II EL JUST;Tavernes de la Valldigna;NA;NA
LA VALLDIGNA;Tavernes de la Valldigna;NA;NA
EL ARMELAR;Terramelar;NA;NA
EL VEDAT;Torrent;NA;NA
FASTA MADRE SACRAMENTO;Torrent;39.4251367;-0.4846142
LA PURÍSIMA;Torrent;NA;NA
MARÍA AUXILIADORA;Torrent;NA;NA
NUESTRA SEÑORA DEL MONTE SIÓN;Torrent;NA;NA
SAN JOSÉ Y SANTA ANA;Torrent;NA;NA
SANTO TOMÁS DE AQUINO;Torrent;NA;NA
ANTONIO MACHADO;Torrent;39.4322477;-0.4773899
EL MOLÍ;Torrent;NA;NA
FEDERICO MAICAS;Torrent;39.4328433;-0.480445
JUAN XXIII;Torrent;NA;NA
LES TERRETES;Torrent;39.4336265;-0.4746527
LOPE DE VEGA;Torrent;NA;NA
MIGUEL HERNÁNDEZ;Torrent;39.4336265;-0.4746527
SAN JUAN BAUTISTA;Torrent;39.4298893;-0.4653708
SANT PASQUAL;Torrent;39.4281657;-0.4748384
VIRGEN DEL ROSARIO;Torrent;39.4390247;-0.4604143
LA MARXADELLA;Torrent;39.4271664;-0.4759639
SERRA PERENXISA;Torrent;NA;NA
TIRANT LO BLANC;Torrent;NA;NA
VELES E VENTS;Torrent;NA;NA
SANTA BÁRBARA;Tous;39.1386554;-0.590563
Colegio de Educación Infantil y Primaria;Tuéjar;NA;NA
JOAQUÍN MUÑOZ;Turís;NA;NA
Instituto de Educación Secundaria;Turís;NA;NA
SANTA ANA;Utiel;39.5663296;-1.2065327
CANÓNIGO MUÑOZ;Utiel;39.5645988;-1.1998676
ENRIQUE RAMBAL;Utiel;39.5723612;-1.2089378
ALAMEDA;Utiel;NA;NA
MIGUEL BALLESTEROS VIANA;Utiel;39.4927174;-1.2850281
ARGOS;Valencia;39.4974755;-0.3988204
AVE MARÍA DE PEÑARROCHA;Valencia;39.4613148;-0.3545014
CHINER VILLARROYA;Valencia;NA;NA
CLARET;Valencia;NA;NA
CLARET FUENSANTA;Valencia;NA;NA
COMENIUS CENTRE EDUCATIU;Valencia;NA;NA
ENGEBA;Valencia;NA;NA
ESCLAVAS DE MARÍA;Valencia;39.465685;-0.3926418
ESCOLÀPIES VALÈNCIA;Valencia;NA;NA
ESCUELAS PÍAS;Valencia;39.473836;-0.3824146
ESCUELAS PÍAS-MALVARROSA;Valencia;39.4818636;-0.3292442
ESCUELAS PROFESIONALES DE ARTESANOS;Valencia;38.8965153;-0.6947181
GRAN ASOCIACIÓN;Valencia;39.4796031;-0.377994
GUADALAVIAR;Valencia;39.4708254;-0.3338588
HERMES SOCIEDAD COOPERATIVA VALENCIANA;Valencia;NA;NA
HOGAR NUESTRA SEÑORA DEL ROSARIO;Valencia;39.4623797;-0.3332675
INMACULADO CORAZÓN DE MARÍA;Valencia;39.4739049;-0.3932703
JESÚS MARÍA;Valencia;NA;NA
JESÚS MARÍA-FUENSANTA;Valencia;NA;NA
LA ANUNCIACIÓN;Valencia;39.4640524;-0.3446685
LA PURÍSIMA;Valencia;39.461527;-0.3325875
LA PURÍSIMA-FRANCISCANAS;Valencia;39.4610655;-0.4032943
LICEO CORBI;Valencia;39.4595884;-0.3635025
LUIS DE SANTÁNGEL;Valencia;39.452197;-0.3869936
LUZ CASANOVA;Valencia;39.4882135;-0.3738464
MANTELLATE;Valencia;39.4865583;-0.3862898
MARÍA AUXILIADORA;Valencia;39.4926642;-0.3730726
MARÍA INMACULADA;Valencia;39.4834497;-0.3870759
MARNI;Valencia;39.4961561;-0.3686145
MERCURIO;Valencia;39.485458;-0.3765677
NUESTRA SEÑORA DE FÁTIMA;Valencia;39.4679107;-0.4045129
NUESTRA SEÑORA DE LORETO;Valencia;39.4636624;-0.3622492
NUESTRA SEÑORA DE LOS DESAMPARADOS;Valencia;39.4502786;-0.3325985
NUESTRA SEÑORA DEL CARMEN-SAN VICENTE PAÚL;Valencia;39.4906867;-0.3915484
NUESTRA SEÑORA DEL PILAR;Valencia;39.4708254;-0.3338588
NUESTRA SEÑORA DEL ROSARIO;Valencia;39.4296865;-0.3650215
NUESTRA SEÑORA DEL SOCORRO;Valencia;NA;NA
PÍO XII;Valencia;39.4954077;-0.3526252
PUREZA DE MARÍA-CID;Valencia;39.4707454;-0.4091303
PUREZA DE MARÍA-GRAO;Valencia;NA;NA
SAGRADA FAMILIA-HHDC;Valencia;39.4884218;-0.4022858
SAGRADA FAMILIA-PJO;Valencia;39.4906505;-0.3572962
SAGRADO CORAZÓN DE JESÚS -CARMELITAS-;Valencia;39.6788124;-0.2817167
SAGRADO CORAZÓN DE JESÚS -ESCLAVAS-;Valencia;39.4754908;-0.363344
SAGRADO CORAZÓN HH. MARISTAS;Valencia;39.4649129;-0.3631387
SALESIANOS SAN ANTONIO ABAD;Valencia;39.4908396;-0.3733598
SALESIANOS-SAN JUAN BOSCO;Valencia;39.452621;-0.3696925
SAN JOSÉ DE CALASANZ;Valencia;39.4762968;-0.3637661
SAN JOSÉ HERMANAS FRANCISCANAS DE LA INMACULADA;Valencia;NA;NA
SAN JUAN BOSCO;Valencia;39.4828754;-0.3856839
SAN MARCELINO;Valencia;NA;NA
SAN PEDRO PASCUAL;Valencia;39.4734531;-0.3926952
SAN ROQUE;Valencia;39.4936524;-0.39285
SAN VICENTE FERRER-DOMINICOS;Valencia;39.1856563;-0.4348008
SANTA ANA;Valencia;39.4675726;-0.353924
SANTA MAGDALENA SOFÍA;Valencia;NA;NA
SANTA MARÍA;Valencia;39.4559189;-0.4013702
SANTIAGO APÓSTOL CABANYAL;Valencia;39.4740262;-0.3297201
SANTIAGO APÓSTOL MARXALENES;Valencia;39.4853085;-0.3807683
SANTÍSIMA TRINIDAD;Valencia;39.4845996;-0.376969
SOM ESCOLA;Valencia;39.4714316;-0.4062115
TRAFALGAR;Valencia;NA;NA
VILAVELLA;Valencia;NA;NA
MARJO;Valencia;39.4932486;-0.3931585
MARTÍ SOROLLA;Valencia;NA;NA
MERCERATOR;Valencia;39.4950555;-0.3697076
SALGUI;Valencia;39.4449477;-0.3913647
SAN LUIS GONZAGA;Valencia;39.4563513;-0.3674432
AULA 3;Valencia;39.5894105;-0.5469687
PROFESIONAL SOROLLA;Valencia;39.4484543;-0.3773714
ALEJANDRA SOLER;Valencia;39.4617743;-0.3744834
ALMUDENA MUÑOZ;Valencia;NA;NA
ANGELINA CARNICER;Valencia;39.4289697;-0.4129806
ANTONIO GARCÍA LÓPEZ;Valencia;39.4666894;-0.3467917
ANTONIO MACHADO;Valencia;NA;NA
BALLESTER FANDOS;Valencia;39.4792342;-0.3285954
BENIMACLET;Valencia;NA;NA
CAMPANAR;Valencia;39.4824028;-0.3953793
CARLES SALVADOR;Valencia;NA;NA
CAVITE-ISLA DE HIERRO;Valencia;39.4756462;-0.3268743
CERVANTES;Valencia;39.468596;-0.3805458
CIUDAD DE BOLONIA;Valencia;39.461462;-0.3996333
CIUTAT ARTISTA FALLER;Valencia;NA;NA
COMUNITAT VALENCIANA;Valencia;39.4846029;-0.3943772
DOCTOR BARCIA GOYANES;Valencia;NA;NA
DOCTOR OLÓRIZ;Valencia;39.4846144;-0.380453
EL GRAU;Valencia;39.463146;-0.3552057
ELISEO VIDAL;Valencia;39.4572381;-0.3986053
EXPLORADOR ANDRÉS;Valencia;38.3968875;-0.4371628
FAUSTO MARTÍNEZ;Valencia;NA;NA
FEDERICO GARCÍA LORCA;Valencia;39.5800313;-0.5097819
FERNANDO DE LOS RIOS;Valencia;39.4550978;-0.3776944
FRANCISCO GINER DE LOS RÍOS;Valencia;NA;NA
GASPAR GIL POLO;Valencia;39.4672612;-0.4024135
HUMANISTA MARINER;Valencia;NA;NA
IVAF-LUIS FORTICH;Valencia;39.4535146;-0.396381
JAIME BALMES;Valencia;39.8161329;-0.424999
JAUME I;Valencia;NA;NA
JESÚS;Valencia;39.4580173;-0.3896708
JOSÉ SOTO MICÓ;Valencia;39.4499314;-0.3897048
JUAN MANUEL MONTOYA;Valencia;NA;NA
LA FONTETA;Valencia;NA;NA
L'ALBEREDA;Valencia;NA;NA
L'AMISTAT;Valencia;39.4720721;-0.3504517
LAS MORERAS;Valencia;39.4499837;-0.3323451
LES ARENES;Valencia;39.4672182;-0.3273311
LES ARTS;Valencia;NA;NA
LLUÍS GUARNER;Valencia;39.4890472;-0.3923075
LUIS VIVES;Valencia;39.4681727;-0.384893
MALVA-ROSA;Valencia;NA;NA
MARE NOSTRUM;Valencia;39.4708254;-0.3338588
MAX AUB;Valencia;39.4888404;-0.3719081
MESTALLA;Valencia;39.4718414;-0.3554927
MIGUEL HERNÁNDEZ;Valencia;NA;NA
MIQUEL ADLERT I NOGUEROL;Valencia;39.4680164;-0.3466068
MONTOLIVET;Valencia;NA;NA
NICOLAU PRIMITIU GÓMEZ SERRANO;Valencia;NA;NA
NUESTRA SEÑORA DEL CARMEN;Valencia;NA;NA
PABLO NERUDA;Valencia;39.4470743;-0.3721813
PADRE MANJÓN;Valencia;NA;NA
PARE CATALÀ;Valencia;NA;NA
PROFESOR BARTOLOMÉ COSSIO;Valencia;39.4920849;-0.369854
PROFESOR LUIS BRAILLE;Valencia;39.4898074;-0.3803558
PROFESOR SANCHIS GUARNER;Valencia;39.4927596;-0.3791934
PROFESOR SANTIAGO GRISOLIA;Valencia;38.3968875;-0.4371628
PROFESSOR RAMIRO JOVER;Valencia;39.4454809;-0.3929918
RAFAEL ALTAMIRA;Valencia;39.6808991;-0.2243615
RAFAEL MATEU CÁMARA;Valencia;NA;NA
RAQUEL PAYA;Valencia;39.4662922;-0.4028175
RODRÍGUEZ FORNOS;Valencia;39.4620686;-0.3992015
SALVADOR TUSET;Valencia;39.4915668;-0.3909279
SAN FERNANDO;Valencia;39.4856562;-0.3679483
SAN JOSÉ DE CALASANZ;Valencia;39.4582605;-0.3356636
SAN JUAN DE RIBERA;Valencia;39.4835721;-1.0906464
SAN PEDRO;Valencia;39.4687366;-0.3379772
SANT ISIDRE;Valencia;NA;NA
SANTA TERESA;Valencia;NA;NA
SANTO ÁNGEL DE LA GUARDA;Valencia;NA;NA
SARA FERNÁNDEZ;Valencia;NA;NA
SECTOR AÉREO;Valencia;39.46652;-0.4003728
SERRERÍA;Valencia;39.4678339;-0.3352345
TEODORO LLORENTE;Valencia;39.4702753;-0.3888485
TOMÁS DE MONTAÑANA;Valencia;39.463146;-0.3552057
TOMÁS DE VILLARROYA;Valencia;39.447128;-0.3912629
TORREFIEL;Valencia;39.4953251;-0.3777793
VICENTE BLASCO IBÁÑEZ;Valencia;39.6756508;-0.2110405
VICENTE GAOS;Valencia;NA;NA
VIVERS;Valencia;39.4401166;-0.6032582
8 DE MARÇ;Valencia;39.4647297;-0.3956992
9 D'OCTUBRE;Valencia;39.4741546;-0.3985482
AIORA;Valencia;39.4664724;-0.3392786
PRIMER MARQUÉS DEL TURIA;Valencia;NA;NA
ABASTOS;Valencia;39.4684518;-0.3885658
BALEARES;Valencia;39.4587413;-0.3412655
BARRI DEL CARME;Valencia;39.4799358;-0.3817455
BENICALAP;Valencia;39.4884946;-0.3910571
BENLLIURE;Valencia;NA;NA
CAMPANAR;Valencia;NA;NA
CID CAMPEADOR;Valencia;39.4651422;-0.3994836
CONSELLERIA;Valencia;NA;NA
DISTRICTE MARÍTIM;Valencia;39.459673;-0.3445464
EL CABANYAL;Valencia;NA;NA
EL CLOT;Valencia;39.4899074;-0.3795147
EL GRAO;Valencia;39.4620683;-0.332022
FONT DE SANT LLUÍS;Valencia;39.4542672;-0.3643584
FRANCESC FERRER I GUÀRDIA;Valencia;NA;NA
ISABEL DE VILLENA;Valencia;39.4778885;-0.3253558
JOANOT MARTORELL;Valencia;39.440499;-0.3903325
JORDI DE SANT JORDI;Valencia;NA;NA
JOSÉ BALLESTER GOZALVO;Valencia;NA;NA
JUAN DE GARAY;Valencia;39.4547778;-0.395392
LUIS VIVES;Valencia;39.4681939;-0.3779457
MALILLA;Valencia;NA;NA
NÚMERO 26;Valencia;39.4650074;-0.4110317
ORRIOLS;Valencia;39.4943136;-0.3650839
PATRAIX, VICENTA FERRER ESCRIVÁ;Valencia;39.8194165;-0.2313426
RAMON LLULL;Valencia;39.4760266;-0.3460821
RASCANYA-ANTONIO CAÑUELO;Valencia;39.4942951;-0.3606933
SAN VICENTE FERRER;Valencia;39.5958347;-0.6041337
SERPIS;Valencia;NA;NA
SOROLLA;Valencia;NA;NA
RAMÓN MARTÍ SORIANO;Vallada;NA;NA
Instituto de Educación Secundaria;Vallada;NA;NA
MAESTRO VICTORIO MONTES;Venta del Moro;NA;NA
SANTA ANA;Vilallonga/Villalonga;NA;NA
VERGE DE LA FONT;Vilallonga/Villalonga;NA;NA
VALL DE LA SAFOR;Vilallonga/Villalonga;NA;NA
SAN FRANCISCO Y SANTO DOMINGO;Vilamarxant;NA;NA
HORTA MAJOR;Vilamarxant;NA;NA
LA PEA;Vilamarxant;NA;NA
LES RODANES;Vilamarxant;NA;NA
HERNÁNDEZ;Villanueva de Castellón;39.0744947;-0.5143317
SANTO DOMINGO;Villanueva de Castellón;NA;NA
SEVERÍ TORRES;Villanueva de Castellón;NA;NA
VICENTE GANDIA;Villanueva de Castellón;NA;NA
FABIÁN Y FUERO;Villar del Arzobispo;NA;NA
LA SERRANÍA;Villar del Arzobispo;NA;NA
SANTA JOAQUINA DE VEDRUNA;Vinalesa;NA;NA
JOSÉ BLAT GIMENO;Vinalesa;NA;NA
CLARET;Xàtiva;NA;NA
NUESTRA SEÑORA DE LA SEO;Xàtiva;NA;NA
LA INMACULADA;Xàtiva;NA;NA
ATTILIO BRUSCHETTI;Xàtiva;NA;NA
LA BOLA;Xàtiva;NA;NA
MARTÍNEZ BELLVER;Xàtiva;38.9857615;-0.5270497
TAQUÍGRAFO MARTÍ;Xàtiva;38.9869828;-0.5202508
GOZALBES VERA;Xàtiva;NA;NA
DOCTOR LLUÍS SIMARRO LACABRA;Xàtiva;38.9865534;-0.5330254
JOSEP DE RIBERA;Xàtiva;NA;NA
JOANOT MARTORELL;Xeraco;NA;NA
MONTDÚVER;Xeraco;NA;NA
SANT ANTONI DE PÀDUA;Xeresa;NA;NA
NUESTRA SEÑORA DE LA SALUD;Xirivella;39.4655358;-0.4232777
ANTONIO MACHADO;Xirivella;NA;NA
GREGORI MAYANS I CISCAR;Xirivella;NA;NA
MIGUEL DE CERVANTES;Xirivella;39.4626788;-0.4296526
RAMÓN Y CAJAL;Xirivella;39.4639675;-0.4385011
REI EN JAUME;Xirivella;NA;NA
VICENT TOSCA;Xirivella;39.4660098;-0.4167007
GONZALO ANAYA;Xirivella;NA;NA
RAMON MUNTANER;Xirivella;NA;NA
PINTOR SOROLLA;Yátova;39.3846293;-0.8069375
